source,target,value
Agric. & Nat. Res. Cons0,Agric. & Nat. Res. Cons1,2575
Agric. & Nat. Res. Cons0,Architecture1,6
Agric. & Nat. Res. Cons0,"Area, Eth. & Multidiscip. Studies1",1
Agric. & Nat. Res. Cons0,Arts: Visual & Performing1,34
Agric. & Nat. Res. Cons0,Business1,275
Agric. & Nat. Res. Cons0,"Commun, Fam., & Personal Svcs1",266
Agric. & Nat. Res. Cons0,Communications1,43
Agric. & Nat. Res. Cons0,Comp. Sci. & Mathematics1,25
Agric. & Nat. Res. Cons0,Education1,125
Agric. & Nat. Res. Cons0,Eng. Tech. & Drafting1,106
Agric. & Nat. Res. Cons0,Engineering1,143
Agric. & Nat. Res. Cons0,English & Foreign Lang.1,23
Agric. & Nat. Res. Cons0,Health Admin. & Assisting1,80
Agric. & Nat. Res. Cons0,Health Sci. & Techno.1,174
Agric. & Nat. Res. Cons0,"Philosophy, Religion, & Theology1",3
Agric. & Nat. Res. Cons0,"Repair, Production, & Construction1",192
Agric. & Nat. Res. Cons0,Sciences: Biological & Physical1,460
Agric. & Nat. Res. Cons0,Social Sciences & Law1,105
Agric. & Nat. Res. Cons1,Agric. & Nat. Res. Cons2,5424
Agric. & Nat. Res. Cons1,Architecture2,10
Agric. & Nat. Res. Cons1,"Area, Eth. & Multidiscip. Studies2",0
Agric. & Nat. Res. Cons1,Arts: Visual & Performing2,17
Agric. & Nat. Res. Cons1,Business2,130
Agric. & Nat. Res. Cons1,"Commun, Fam., & Personal Svcs2",127
Agric. & Nat. Res. Cons1,Communications2,43
Agric. & Nat. Res. Cons1,Comp. Sci. & Mathematics2,15
Agric. & Nat. Res. Cons1,Education2,95
Agric. & Nat. Res. Cons1,Eng. Tech. & Drafting2,24
Agric. & Nat. Res. Cons1,Engineering2,62
Agric. & Nat. Res. Cons1,English & Foreign Lang.2,29
Agric. & Nat. Res. Cons1,Health Admin. & Assisting2,30
Agric. & Nat. Res. Cons1,Health Sci. & Techno.2,70
Agric. & Nat. Res. Cons1,"Philosophy, Religion, & Theology2",5
Agric. & Nat. Res. Cons1,"Repair, Production, & Construction2",24
Agric. & Nat. Res. Cons1,Sciences: Biological & Physical2,185
Agric. & Nat. Res. Cons1,Social Sciences & Law2,104
Architecture0,Agric. & Nat. Res. Cons1,53
Architecture0,Architecture1,927
Architecture0,"Area, Eth. & Multidiscip. Studies1",1
Architecture0,Arts: Visual & Performing1,329
Architecture0,Business1,434
Architecture0,"Commun, Fam., & Personal Svcs1",143
Architecture0,Communications1,65
Architecture0,Comp. Sci. & Mathematics1,97
Architecture0,Education1,73
Architecture0,Eng. Tech. & Drafting1,230
Architecture0,Engineering1,655
Architecture0,English & Foreign Lang.1,24
Architecture0,Health Admin. & Assisting1,3
Architecture0,Health Sci. & Techno.1,100
Architecture0,"Philosophy, Religion, & Theology1",7
Architecture0,"Repair, Production, & Construction1",56
Architecture0,Sciences: Biological & Physical1,135
Architecture0,Social Sciences & Law1,127
Architecture1,Agric. & Nat. Res. Cons2,5
Architecture1,Architecture2,1078
Architecture1,"Area, Eth. & Multidiscip. Studies2",2
Architecture1,Arts: Visual & Performing2,52
Architecture1,Business2,54
Architecture1,"Commun, Fam., & Personal Svcs2",11
Architecture1,Communications2,13
Architecture1,Comp. Sci. & Mathematics2,14
Architecture1,Education2,10
Architecture1,Eng. Tech. & Drafting2,16
Architecture1,Engineering2,44
Architecture1,English & Foreign Lang.2,2
Architecture1,Health Admin. & Assisting2,0
Architecture1,Health Sci. & Techno.2,5
Architecture1,"Philosophy, Religion, & Theology2",1
Architecture1,"Repair, Production, & Construction2",2
Architecture1,Sciences: Biological & Physical2,8
Architecture1,Social Sciences & Law2,19
"Area, Eth. & Multidiscip. Studies0",Agric. & Nat. Res. Cons1,3
"Area, Eth. & Multidiscip. Studies0",Architecture1,2
"Area, Eth. & Multidiscip. Studies0","Area, Eth. & Multidiscip. Studies1",16
"Area, Eth. & Multidiscip. Studies0",Arts: Visual & Performing1,7
"Area, Eth. & Multidiscip. Studies0",Business1,16
"Area, Eth. & Multidiscip. Studies0","Commun, Fam., & Personal Svcs1",14
"Area, Eth. & Multidiscip. Studies0",Communications1,5
"Area, Eth. & Multidiscip. Studies0",Comp. Sci. & Mathematics1,6
"Area, Eth. & Multidiscip. Studies0",Education1,6
"Area, Eth. & Multidiscip. Studies0",Eng. Tech. & Drafting1,0
"Area, Eth. & Multidiscip. Studies0",Engineering1,4
"Area, Eth. & Multidiscip. Studies0",English & Foreign Lang.1,16
"Area, Eth. & Multidiscip. Studies0",Health Admin. & Assisting1,1
"Area, Eth. & Multidiscip. Studies0",Health Sci. & Techno.1,4
"Area, Eth. & Multidiscip. Studies0","Philosophy, Religion, & Theology1",0
"Area, Eth. & Multidiscip. Studies0","Repair, Production, & Construction1",3
"Area, Eth. & Multidiscip. Studies0",Sciences: Biological & Physical1,10
"Area, Eth. & Multidiscip. Studies0",Social Sciences & Law1,54
"Area, Eth. & Multidiscip. Studies1",Agric. & Nat. Res. Cons2,2
"Area, Eth. & Multidiscip. Studies1",Architecture2,0
"Area, Eth. & Multidiscip. Studies1","Area, Eth. & Multidiscip. Studies2",152
"Area, Eth. & Multidiscip. Studies1",Arts: Visual & Performing2,5
"Area, Eth. & Multidiscip. Studies1",Business2,15
"Area, Eth. & Multidiscip. Studies1","Commun, Fam., & Personal Svcs2",5
"Area, Eth. & Multidiscip. Studies1",Communications2,5
"Area, Eth. & Multidiscip. Studies1",Comp. Sci. & Mathematics2,0
"Area, Eth. & Multidiscip. Studies1",Education2,4
"Area, Eth. & Multidiscip. Studies1",Eng. Tech. & Drafting2,0
"Area, Eth. & Multidiscip. Studies1",Engineering2,2
"Area, Eth. & Multidiscip. Studies1",English & Foreign Lang.2,14
"Area, Eth. & Multidiscip. Studies1",Health Admin. & Assisting2,0
"Area, Eth. & Multidiscip. Studies1",Health Sci. & Techno.2,1
"Area, Eth. & Multidiscip. Studies1","Philosophy, Religion, & Theology2",1
"Area, Eth. & Multidiscip. Studies1","Repair, Production, & Construction2",0
"Area, Eth. & Multidiscip. Studies1",Sciences: Biological & Physical2,3
"Area, Eth. & Multidiscip. Studies1",Social Sciences & Law2,28
Arts: Visual & Performing0,Agric. & Nat. Res. Cons1,65
Arts: Visual & Performing0,Architecture1,103
Arts: Visual & Performing0,"Area, Eth. & Multidiscip. Studies1",14
Arts: Visual & Performing0,Arts: Visual & Performing1,9530
Arts: Visual & Performing0,Business1,1196
Arts: Visual & Performing0,"Commun, Fam., & Personal Svcs1",682
Arts: Visual & Performing0,Communications1,1217
Arts: Visual & Performing0,Comp. Sci. & Mathematics1,384
Arts: Visual & Performing0,Education1,1042
Arts: Visual & Performing0,Eng. Tech. & Drafting1,148
Arts: Visual & Performing0,Engineering1,288
Arts: Visual & Performing0,English & Foreign Lang.1,399
Arts: Visual & Performing0,Health Admin. & Assisting1,31
Arts: Visual & Performing0,Health Sci. & Techno.1,402
Arts: Visual & Performing0,"Philosophy, Religion, & Theology1",115
Arts: Visual & Performing0,"Repair, Production, & Construction1",90
Arts: Visual & Performing0,Sciences: Biological & Physical1,378
Arts: Visual & Performing0,Social Sciences & Law1,724
Arts: Visual & Performing1,Agric. & Nat. Res. Cons2,22
Arts: Visual & Performing1,Architecture2,43
Arts: Visual & Performing1,"Area, Eth. & Multidiscip. Studies2",9
Arts: Visual & Performing1,Arts: Visual & Performing2,11839
Arts: Visual & Performing1,Business2,325
Arts: Visual & Performing1,"Commun, Fam., & Personal Svcs2",203
Arts: Visual & Performing1,Communications2,332
Arts: Visual & Performing1,Comp. Sci. & Mathematics2,135
Arts: Visual & Performing1,Education2,285
Arts: Visual & Performing1,Eng. Tech. & Drafting2,28
Arts: Visual & Performing1,Engineering2,38
Arts: Visual & Performing1,English & Foreign Lang.2,131
Arts: Visual & Performing1,Health Admin. & Assisting2,16
Arts: Visual & Performing1,Health Sci. & Techno.2,75
Arts: Visual & Performing1,"Philosophy, Religion, & Theology2",33
Arts: Visual & Performing1,"Repair, Production, & Construction2",20
Arts: Visual & Performing1,Sciences: Biological & Physical2,103
Arts: Visual & Performing1,Social Sciences & Law2,244
Business0,Agric. & Nat. Res. Cons1,339
Business0,Architecture1,28
Business0,"Area, Eth. & Multidiscip. Studies1",15
Business0,Arts: Visual & Performing1,461
Business0,Business1,19154
Business0,"Commun, Fam., & Personal Svcs1",1575
Business0,Communications1,791
Business0,Comp. Sci. & Mathematics1,477
Business0,Education1,551
Business0,Eng. Tech. & Drafting1,224
Business0,Engineering1,900
Business0,English & Foreign Lang.1,172
Business0,Health Admin. & Assisting1,109
Business0,Health Sci. & Techno.1,603
Business0,"Philosophy, Religion, & Theology1",60
Business0,"Repair, Production, & Construction1",185
Business0,Sciences: Biological & Physical1,646
Business0,Social Sciences & Law1,1462
Business1,Agric. & Nat. Res. Cons2,117
Business1,Architecture2,29
Business1,"Area, Eth. & Multidiscip. Studies2",14
Business1,Arts: Visual & Performing2,206
Business1,Business2,29540
Business1,"Commun, Fam., & Personal Svcs2",771
Business1,Communications2,713
Business1,Comp. Sci. & Mathematics2,328
Business1,Education2,337
Business1,Eng. Tech. & Drafting2,108
Business1,Engineering2,167
Business1,English & Foreign Lang.2,161
Business1,Health Admin. & Assisting2,73
Business1,Health Sci. & Techno.2,238
Business1,"Philosophy, Religion, & Theology2",34
Business1,"Repair, Production, & Construction2",83
Business1,Sciences: Biological & Physical2,249
Business1,Social Sciences & Law2,785
"Commun, Fam., & Personal Svcs0",Agric. & Nat. Res. Cons1,48
"Commun, Fam., & Personal Svcs0",Architecture1,4
"Commun, Fam., & Personal Svcs0","Area, Eth. & Multidiscip. Studies1",4
"Commun, Fam., & Personal Svcs0",Arts: Visual & Performing1,67
"Commun, Fam., & Personal Svcs0",Business1,506
"Commun, Fam., & Personal Svcs0","Commun, Fam., & Personal Svcs1",2078
"Commun, Fam., & Personal Svcs0",Communications1,93
"Commun, Fam., & Personal Svcs0",Comp. Sci. & Mathematics1,48
"Commun, Fam., & Personal Svcs0",Education1,348
"Commun, Fam., & Personal Svcs0",Eng. Tech. & Drafting1,47
"Commun, Fam., & Personal Svcs0",Engineering1,54
"Commun, Fam., & Personal Svcs0",English & Foreign Lang.1,45
