source,target,value
English & Foreign Lang.0,Engineering1,0
English & Foreign Lang.0,English & Foreign Lang.1,15
English & Foreign Lang.0,Health Admin. & Assisting1,1
English & Foreign Lang.0,Social Sciences & Law1,3
English & Foreign Lang.0,Arts: Visual & Performing1,1
English & Foreign Lang.0,Business1,2
English & Foreign Lang.0,"Repair, Production, & Construction1",0
English & Foreign Lang.0,"Area, Eth. & Multidiscip. Studies1",0
English & Foreign Lang.0,Health Sci. & Techno.1,5
English & Foreign Lang.0,Agric. & Nat. Res. Cons1,0
English & Foreign Lang.0,Comp. Sci. & Mathematics1,0
English & Foreign Lang.0,Communications1,6
English & Foreign Lang.0,Sciences: Biological & Physical1,2
English & Foreign Lang.0,Eng. Tech. & Drafting1,1
English & Foreign Lang.0,Education1,2
English & Foreign Lang.0,"Philosophy, Religion, & Theology1",0
English & Foreign Lang.0,Architecture1,0
English & Foreign Lang.0,"Commun, Fam., & Personal Svcs1",8
Education0,Engineering1,0
Education0,English & Foreign Lang.1,17
Education0,Health Admin. & Assisting1,12
Education0,Social Sciences & Law1,27
Education0,Arts: Visual & Performing1,15
Education0,Business1,26
Education0,"Repair, Production, & Construction1",2
Education0,"Area, Eth. & Multidiscip. Studies1",1
Education0,Health Sci. & Techno.1,38
Education0,Agric. & Nat. Res. Cons1,2
Education0,Comp. Sci. & Mathematics1,10
Education0,Communications1,7
Education0,Sciences: Biological & Physical1,8
Education0,Eng. Tech. & Drafting1,0
Education0,Education1,293
Education0,"Philosophy, Religion, & Theology1",0
Education0,Architecture1,0
Education0,"Commun, Fam., & Personal Svcs1",101
Health Admin. & Assisting1,English & Foreign Lang.2,0
Health Admin. & Assisting1,Social Sciences & Law2,1
Health Admin. & Assisting1,Education2,0
Health Admin. & Assisting1,"Commun, Fam., & Personal Svcs2",2
Health Admin. & Assisting1,Arts: Visual & Performing2,0
Health Admin. & Assisting1,"Repair, Production, & Construction2",0
Health Admin. & Assisting1,Business2,2
Health Admin. & Assisting1,"Area, Eth. & Multidiscip. Studies2",0
Health Admin. & Assisting1,Health Sci. & Techno.2,0
Health Admin. & Assisting1,Agric. & Nat. Res. Cons2,0
Health Admin. & Assisting1,Comp. Sci. & Mathematics2,0
Health Admin. & Assisting1,Engineering2,0
Health Admin. & Assisting1,Communications2,0
Health Admin. & Assisting1,Sciences: Biological & Physical2,0
Health Admin. & Assisting1,Health Admin. & Assisting2,51
Health Admin. & Assisting1,Eng. Tech. & Drafting2,0
Health Admin. & Assisting1,"Philosophy, Religion, & Theology2",0
Health Admin. & Assisting1,Architecture2,0
Social Sciences & Law0,Engineering1,0
Social Sciences & Law0,English & Foreign Lang.1,0
Social Sciences & Law0,Health Admin. & Assisting1,0
Social Sciences & Law0,Social Sciences & Law1,0
Social Sciences & Law0,Arts: Visual & Performing1,0
Social Sciences & Law0,Business1,0
Social Sciences & Law0,"Repair, Production, & Construction1",0
Social Sciences & Law0,"Area, Eth. & Multidiscip. Studies1",0
Social Sciences & Law0,Health Sci. & Techno.1,0
Social Sciences & Law0,Agric. & Nat. Res. Cons1,0
Social Sciences & Law0,Comp. Sci. & Mathematics1,0
Social Sciences & Law0,Communications1,0
Social Sciences & Law0,Sciences: Biological & Physical1,0
Social Sciences & Law0,Eng. Tech. & Drafting1,0
Social Sciences & Law0,Education1,0
Social Sciences & Law0,"Philosophy, Religion, & Theology1",0
Social Sciences & Law0,Architecture1,0
Social Sciences & Law0,"Commun, Fam., & Personal Svcs1",0
Eng. Tech. & Drafting0,Engineering1,1
Eng. Tech. & Drafting0,English & Foreign Lang.1,0
Eng. Tech. & Drafting0,Health Admin. & Assisting1,0
Eng. Tech. & Drafting0,Social Sciences & Law1,1
Eng. Tech. & Drafting0,Arts: Visual & Performing1,0
Eng. Tech. & Drafting0,Business1,4
Eng. Tech. & Drafting0,"Repair, Production, & Construction1",1
Eng. Tech. & Drafting0,"Area, Eth. & Multidiscip. Studies1",0
Eng. Tech. & Drafting0,Health Sci. & Techno.1,1
Eng. Tech. & Drafting0,Agric. & Nat. Res. Cons1,0
Eng. Tech. & Drafting0,Comp. Sci. & Mathematics1,6
Eng. Tech. & Drafting0,Communications1,2
Eng. Tech. & Drafting0,Sciences: Biological & Physical1,4
Eng. Tech. & Drafting0,Eng. Tech. & Drafting1,3
Eng. Tech. & Drafting0,Education1,1
Eng. Tech. & Drafting0,"Philosophy, Religion, & Theology1",0
Eng. Tech. & Drafting0,Architecture1,0
Eng. Tech. & Drafting0,"Commun, Fam., & Personal Svcs1",3
"Commun, Fam., & Personal Svcs0",Engineering1,1
"Commun, Fam., & Personal Svcs0",English & Foreign Lang.1,1
"Commun, Fam., & Personal Svcs0",Health Admin. & Assisting1,16
"Commun, Fam., & Personal Svcs0",Social Sciences & Law1,62
"Commun, Fam., & Personal Svcs0",Arts: Visual & Performing1,5
"Commun, Fam., & Personal Svcs0",Business1,23
"Commun, Fam., & Personal Svcs0","Repair, Production, & Construction1",0
"Commun, Fam., & Personal Svcs0","Area, Eth. & Multidiscip. Studies1",0
"Commun, Fam., & Personal Svcs0",Health Sci. & Techno.1,36
"Commun, Fam., & Personal Svcs0",Agric. & Nat. Res. Cons1,2
"Commun, Fam., & Personal Svcs0",Comp. Sci. & Mathematics1,1
"Commun, Fam., & Personal Svcs0",Communications1,2
"Commun, Fam., & Personal Svcs0",Sciences: Biological & Physical1,5
"Commun, Fam., & Personal Svcs0",Eng. Tech. & Drafting1,0
