T0,T1,T2,count
"Philosophy, Religion, & Theology0","Philosophy, Religion, & Theology1","Philosophy, Religion, & Theology2",322
"Philosophy, Religion, & Theology0","Philosophy, Religion, & Theology1",Health Sci. & Techno.2,2
"Philosophy, Religion, & Theology0","Philosophy, Religion, & Theology1",Business2,12
"Philosophy, Religion, & Theology0","Philosophy, Religion, & Theology1",English & Foreign Lang.2,1
"Philosophy, Religion, & Theology0","Philosophy, Religion, & Theology1",Comp. Sci. & Mathematics2,1
"Philosophy, Religion, & Theology0","Philosophy, Religion, & Theology1",Social Sciences & Law2,12
"Philosophy, Religion, & Theology0","Philosophy, Religion, & Theology1","Repair, Production, & Construction2",1
"Philosophy, Religion, & Theology0","Philosophy, Religion, & Theology1",Communications2,4
"Philosophy, Religion, & Theology0","Philosophy, Religion, & Theology1","Commun, Fam., & Personal Svcs2",12
"Philosophy, Religion, & Theology0","Philosophy, Religion, & Theology1",Education2,8
"Philosophy, Religion, & Theology0","Philosophy, Religion, & Theology1",Arts: Visual & Performing2,6
"Philosophy, Religion, & Theology0",Sciences: Biological & Physical1,"Philosophy, Religion, & Theology2",1
"Philosophy, Religion, & Theology0",Sciences: Biological & Physical1,Sciences: Biological & Physical2,28
"Philosophy, Religion, & Theology0",Sciences: Biological & Physical1,Health Sci. & Techno.2,1
"Philosophy, Religion, & Theology0",Sciences: Biological & Physical1,Business2,1
"Philosophy, Religion, & Theology0",Sciences: Biological & Physical1,English & Foreign Lang.2,3
"Philosophy, Religion, & Theology0",Sciences: Biological & Physical1,Comp. Sci. & Mathematics2,4
"Philosophy, Religion, & Theology0",Sciences: Biological & Physical1,Social Sciences & Law2,4
"Philosophy, Religion, & Theology0",Sciences: Biological & Physical1,Communications2,1
"Philosophy, Religion, & Theology0",Sciences: Biological & Physical1,"Commun, Fam., & Personal Svcs2",4
"Philosophy, Religion, & Theology0",Sciences: Biological & Physical1,Agric. & Nat. Res. Cons2,1
"Philosophy, Religion, & Theology0",Sciences: Biological & Physical1,Education2,4
"Philosophy, Religion, & Theology0",Sciences: Biological & Physical1,Arts: Visual & Performing2,1
"Philosophy, Religion, & Theology0",Health Sci. & Techno.1,"Philosophy, Religion, & Theology2",1
"Philosophy, Religion, & Theology0",Health Sci. & Techno.1,Sciences: Biological & Physical2,1
"Philosophy, Religion, & Theology0",Health Sci. & Techno.1,Health Sci. & Techno.2,16
"Philosophy, Religion, & Theology0",Health Sci. & Techno.1,Business2,3
"Philosophy, Religion, & Theology0",Health Sci. & Techno.1,Eng. Tech. & Drafting2,1
"Philosophy, Religion, & Theology0",Health Sci. & Techno.1,English & Foreign Lang.2,1
"Philosophy, Religion, & Theology0",Health Sci. & Techno.1,"Repair, Production, & Construction2",1
"Philosophy, Religion, & Theology0",Health Sci. & Techno.1,Communications2,1
"Philosophy, Religion, & Theology0",Health Sci. & Techno.1,"Commun, Fam., & Personal Svcs2",1
"Philosophy, Religion, & Theology0",Health Sci. & Techno.1,Arts: Visual & Performing2,1
